,5,4,3,1,0,2
0,5000.0,4900.0,300.0,4800.0,13100.0,12800.0
1,11000.0,12100.0,400.0,10900.0,19500.0,13200.0
2,12700.0,13900.0,500.0,11200.0,20400.0,22300.0
3,12900.0,14300.0,600.0,13500.0,22100.0,23400.0
4,14000.0,19900.0,700.0,13600.0,23300.0,23500.0
5,19700.0,20200.0,800.0,13700.0,23600.0,23700.0
6,19800.0,20300.0,900.0,13800.0,24000.0,23800.0
7,20100.0,20500.0,1000.0,14400.0,24200.0,24100.0
8,23200.0,20600.0,1100.0,14500.0,24300.0,25000.0
9,24400.0,20800.0,1200.0,14600.0,24900.0,25100.0
10,26000.0,20900.0,1300.0,14700.0,25200.0,25700.0
11,26700.0,21000.0,1400.0,14800.0,25400.0,25800.0
12,26800.0,21100.0,1500.0,14900.0,25600.0,26200.0
13,27700.0,21200.0,1600.0,15200.0,25900.0,27900.0
14,28000.0,21300.0,1700.0,15300.0,26500.0,29800.0
15,28300.0,21400.0,1800.0,15400.0,27300.0,29900.0
16,29300.0,21500.0,1900.0,15500.0,28500.0,30500.0
17,49000.0,21600.0,2000.0,15600.0,28600.0,30800.0
18,52700.0,21700.0,2100.0,15700.0,28700.0,55600.0
19,53100.0,21800.0,2200.0,15800.0,29400.0,56100.0
20,53200.0,21900.0,2300.0,15900.0,29600.0,57200.0
21,53300.0,22000.0,2400.0,16000.0,29700.0,58100.0
22,53400.0,22700.0,2500.0,16100.0,30100.0,59800.0
23,53500.0,23000.0,2600.0,16200.0,30200.0,60400.0
24,53600.0,23100.0,2800.0,16300.0,30400.0,60500.0
25,53700.0,24500.0,2900.0,16400.0,30600.0,61600.0
26,53800.0,24700.0,3000.0,16500.0,31900.0,61800.0
27,55500.0,26400.0,3100.0,16600.0,32000.0,91900.0
28,55700.0,26600.0,3200.0,16700.0,34200.0,92300.0
29,56400.0,26900.0,3300.0,16800.0,34300.0,92500.0
30,56800.0,27500.0,3400.0,16900.0,34400.0,93900.0
31,59000.0,28100.0,3500.0,17000.0,34500.0,94800.0
32,63200.0,28800.0,3600.0,17100.0,34600.0,95500.0
33,82600.0,30000.0,3700.0,17200.0,34700.0,97300.0
34,92000.0,31000.0,3800.0,17300.0,35000.0,98400.0
35,92800.0,31700.0,3900.0,17400.0,35300.0,98900.0
36,93200.0,31800.0,4000.0,17500.0,47000.0,103600.0
37,93400.0,34800.0,4100.0,17600.0,47100.0,104700.0
38,95400.0,35100.0,4200.0,17700.0,49200.0,105100.0
39,96000.0,35200.0,4300.0,17800.0,54100.0,106000.0
40,97000.0,35400.0,4400.0,17900.0,54300.0,106200.0
41,97100.0,35500.0,4500.0,18000.0,54400.0,106300.0
42,97200.0,35600.0,4600.0,18100.0,55000.0,106800.0
43,97600.0,48900.0,4700.0,18200.0,55200.0,107200.0
44,98300.0,52000.0,5100.0,18300.0,55300.0,107300.0
45,98700.0,52100.0,5200.0,18400.0,56000.0,107600.0
46,100100.0,52200.0,5300.0,18500.0,56600.0,107700.0
47,100900.0,52300.0,5400.0,18600.0,56700.0,107800.0
48,101000.0,52400.0,5500.0,18700.0,56900.0,108600.0
49,102700.0,52500.0,5600.0,18800.0,57600.0,108800.0
50,103200.0,52600.0,5700.0,18900.0,58200.0,109400.0
51,104000.0,52800.0,5800.0,19000.0,59100.0,110100.0
52,104300.0,52900.0,5900.0,19100.0,59700.0,110500.0
53,104600.0,53000.0,6000.0,19200.0,61000.0,110600.0
54,105600.0,54500.0,6100.0,19300.0,61200.0,111400.0
55,105800.0,54800.0,6200.0,19400.0,61400.0,112800.0
56,106600.0,55800.0,6300.0,19600.0,61900.0,113300.0
57,106900.0,57300.0,6400.0,20000.0,62100.0,114000.0
58,107100.0,59600.0,6500.0,20700.0,62300.0,114900.0
59,107900.0,60000.0,6600.0,22200.0,62400.0,115500.0
60,109900.0,60300.0,6700.0,22400.0,62600.0,115600.0
