,2,4,3,1,5,0
0,200.0,500.0,400.0,900.0,1800.0,4000.0
1,700.0,2600.0,1600.0,1000.0,1900.0,4200.0
2,800.0,4600.0,2300.0,1200.0,2000.0,4400.0
3,1100.0,5100.0,2700.0,1300.0,2100.0,4700.0
4,1500.0,5200.0,3900.0,1400.0,2200.0,4900.0
5,2400.0,5700.0,4800.0,2900.0,3400.0,17300.0
6,2500.0,6100.0,6000.0,3300.0,15600.0,17500.0
7,2800.0,7300.0,6300.0,3500.0,15800.0,17600.0
8,3000.0,7500.0,6500.0,4100.0,16000.0,18100.0
9,3200.0,7600.0,6800.0,4300.0,16100.0,18200.0
10,3600.0,9800.0,7100.0,4500.0,16400.0,18300.0
11,3700.0,10000.0,7800.0,5300.0,16500.0,18400.0
12,3800.0,10700.0,7900.0,5400.0,17200.0,19000.0
13,5000.0,12500.0,9600.0,5500.0,17400.0,19100.0
14,5600.0,13400.0,12600.0,6900.0,17700.0,24800.0
15,5800.0,13500.0,14200.0,8000.0,17800.0,25100.0
16,5900.0,13900.0,14900.0,8100.0,18600.0,25200.0
17,6200.0,15300.0,15700.0,8200.0,18700.0,25600.0
18,6400.0,16300.0,17900.0,8300.0,18900.0,26000.0
19,6600.0,16600.0,19700.0,8400.0,24400.0,26800.0
20,6700.0,17100.0,25400.0,8600.0,56200.0,26900.0
21,7000.0,18500.0,25700.0,8800.0,58000.0,27000.0
22,7200.0,18800.0,26500.0,8900.0,64000.0,27100.0
23,7400.0,19200.0,34100.0,9000.0,64700.0,32400.0
24,7700.0,19300.0,35300.0,9200.0,64900.0,32500.0
25,8500.0,19900.0,36600.0,9300.0,67400.0,35000.0
26,8700.0,20000.0,46300.0,9500.0,89500.0,35100.0
27,9100.0,20300.0,47300.0,9700.0,360400.0,35200.0
28,9400.0,21700.0,47500.0,9900.0,556600.0,44600.0
29,11300.0,22600.0,50900.0,10100.0,580000.0,47800.0
30,12100.0,23600.0,51400.0,10200.0,580100.0,47900.0
31,12200.0,26100.0,65100.0,10300.0,580200.0,48100.0
32,12300.0,27200.0,67100.0,10400.0,580300.0,48200.0
33,12700.0,27900.0,67500.0,10500.0,580400.0,48300.0
34,12900.0,30100.0,67700.0,10600.0,580500.0,48400.0
35,13100.0,31100.0,68500.0,10800.0,580600.0,55900.0
36,13300.0,31400.0,68700.0,10900.0,580700.0,56000.0
37,14000.0,31900.0,68900.0,11000.0,580800.0,56300.0
38,14800.0,32100.0,69100.0,11100.0,580900.0,56400.0
39,15500.0,32600.0,76400.0,11200.0,617800.0,57100.0
40,15900.0,33200.0,90300.0,11400.0,617900.0,57200.0
41,16200.0,33400.0,94700.0,11500.0,618100.0,57700.0
42,16800.0,33500.0,96100.0,11600.0,618300.0,57800.0
43,17000.0,33600.0,101600.0,11700.0,618400.0,58200.0
44,20900.0,33900.0,104700.0,11800.0,618500.0,58400.0
45,24000.0,34400.0,106400.0,11900.0,618600.0,58600.0
46,24100.0,34500.0,113200.0,12000.0,618700.0,58900.0
47,25500.0,34900.0,113500.0,12400.0,618800.0,59100.0
48,25800.0,36700.0,117200.0,12800.0,618900.0,65000.0
49,25900.0,39000.0,151300.0,13000.0,619300.0,65700.0
50,26200.0,39800.0,176600.0,13200.0,619400.0,66000.0
51,26600.0,45600.0,177300.0,13600.0,619600.0,67300.0
52,26700.0,46000.0,181800.0,13700.0,619800.0,67600.0
53,32300.0,46100.0,182500.0,13800.0,620000.0,67800.0
54,32800.0,46400.0,209800.0,14100.0,620100.0,67900.0
55,33300.0,46500.0,219300.0,14300.0,620200.0,68000.0
56,33800.0,48500.0,228800.0,14400.0,620300.0,68100.0
57,34000.0,48700.0,230700.0,14500.0,620400.0,68200.0
58,34800.0,50700.0,233600.0,14600.0,620500.0,83200.0
59,44500.0,52100.0,296800.0,14700.0,620600.0,89900.0
60,46200.0,52400.0,353000.0,15000.0,620700.0,91400.0
61,47200.0,56600.0,359800.0,15100.0,620800.0,101500.0
62,47600.0,57300.0,360000.0,15200.0,620900.0,104200.0
63,47700.0,57400.0,360500.0,15400.0,621000.0,104400.0
64,48000.0,59200.0,360600.0,16700.0,621100.0,104500.0
65,48900.0,63500.0,360900.0,16900.0,621200.0,104600.0
66,49500.0,64200.0,361300.0,18000.0,621300.0,110700.0
67,51700.0,64600.0,361400.0,19400.0,621400.0,112800.0
68,55800.0,64800.0,361500.0,19500.0,621800.0,112900.0
69,57600.0,65200.0,362000.0,19600.0,622200.0,116100.0
70,62000.0,65400.0,363900.0,19800.0,622300.0,116900.0
71,63900.0,66300.0,373200.0,20100.0,622400.0,117000.0
72,64100.0,68300.0,402100.0,20200.0,622500.0,117100.0
73,64500.0,68600.0,532200.0,20400.0,622600.0,121700.0
74,65300.0,69000.0,537100.0,20500.0,622700.0,179000.0
75,65600.0,69200.0,549300.0,20600.0,622800.0,181900.0
76,65800.0,72000.0,549500.0,20700.0,623400.0,205100.0
77,65900.0,76900.0,551300.0,20800.0,623500.0,228900.0
78,66100.0,83600.0,555800.0,21000.0,623600.0,229100.0
79,66200.0,90000.0,556300.0,21100.0,623700.0,229200.0
80,67000.0,90400.0,556500.0,21200.0,623800.0,229400.0
81,67200.0,92000.0,561900.0,21300.0,623900.0,359700.0
82,68800.0,93300.0,562100.0,21400.0,624000.0,371500.0
83,73800.0,94800.0,562400.0,21500.0,624200.0,536200.0
84,76600.0,94900.0,562500.0,21600.0,624300.0,546300.0
85,80900.0,95900.0,571600.0,21800.0,624400.0,546400.0
86,81100.0,96200.0,571900.0,21900.0,624500.0,546500.0
87,88700.0,96600.0,572200.0,22000.0,624600.0,546900.0
88,89800.0,97700.0,577000.0,22100.0,624700.0,547500.0
89,91000.0,98500.0,578900.0,22200.0,624800.0,550000.0
90,92200.0,101700.0,579900.0,22300.0,624900.0,562300.0
91,92300.0,104800.0,581000.0,22400.0,625000.0,575600.0
92,94600.0,105500.0,581200.0,22500.0,626100.0,575700.0
93,95800.0,111100.0,581600.0,22700.0,626600.0,575800.0
94,96000.0,112600.0,586800.0,22800.0,626700.0,575900.0
95,96300.0,113600.0,587200.0,22900.0,627000.0,576000.0
96,96500.0,116200.0,587800.0,23000.0,627100.0,576100.0
97,98400.0,118200.0,591600.0,23100.0,627200.0,576200.0
98,99900.0,123500.0,594400.0,23200.0,627300.0,576400.0
99,101400.0,136000.0,607000.0,23300.0,627400.0,576500.0
100,102400.0,142100.0,608600.0,23400.0,627500.0,576600.0
101,104100.0,176700.0,608700.0,23500.0,628300.0,576700.0
102,104300.0,177500.0,614300.0,23700.0,628400.0,576800.0
103,111000.0,177900.0,616100.0,23800.0,628500.0,579000.0
104,112700.0,178000.0,616600.0,23900.0,628600.0,579100.0
105,113100.0,179400.0,618000.0,24200.0,628800.0,579200.0
106,113300.0,180100.0,619000.0,24300.0,628900.0,579300.0
107,113400.0,180400.0,619500.0,24500.0,629000.0,579400.0
108,116000.0,182000.0,619900.0,24600.0,629100.0,579500.0
109,116600.0,182300.0,621600.0,24700.0,629200.0,579800.0
110,116700.0,183400.0,621900.0,24900.0,629300.0,581300.0
111,116800.0,205200.0,622000.0,25000.0,629500.0,581400.0
112,118000.0,210800.0,622900.0,25300.0,629600.0,581700.0
113,121400.0,211700.0,625100.0,26300.0,629700.0,581900.0
