,3,5,1,2,4,0
0,100.0,2100.0,1400.0,3400.0,7300.0,4200.0
1,200.0,3700.0,3500.0,3600.0,8000.0,4600.0
2,300.0,3900.0,4500.0,3800.0,8800.0,4700.0
3,400.0,6100.0,5200.0,4000.0,9400.0,4800.0
4,500.0,6200.0,5800.0,4300.0,12000.0,5100.0
5,600.0,7800.0,5900.0,5600.0,12200.0,6400.0
6,700.0,8700.0,6300.0,6000.0,12600.0,6900.0
7,800.0,9200.0,6500.0,6600.0,14500.0,8200.0
8,900.0,11800.0,6800.0,6700.0,15700.0,8300.0
9,1200.0,12800.0,7100.0,7000.0,15900.0,8400.0
10,1300.0,13900.0,8100.0,7600.0,17800.0,8500.0
11,1500.0,14300.0,8900.0,9000.0,18000.0,10200.0
12,1600.0,14400.0,9100.0,12100.0,18100.0,11700.0
13,1700.0,14700.0,9300.0,12700.0,18700.0,13000.0
14,1800.0,15300.0,10100.0,12900.0,20400.0,13100.0
15,1900.0,17500.0,11500.0,14200.0,21000.0,13200.0
16,2000.0,18300.0,11600.0,14600.0,22000.0,14000.0
17,2200.0,18400.0,12300.0,15600.0,23600.0,14900.0
18,2300.0,18800.0,15100.0,15800.0,24000.0,15000.0
19,2400.0,19600.0,16000.0,16200.0,24100.0,15200.0
20,2600.0,21300.0,16400.0,18500.0,25400.0,17200.0
21,2700.0,22100.0,17700.0,19700.0,25600.0,18200.0
22,2800.0,22200.0,17900.0,20500.0,26000.0,18600.0
23,2900.0,25100.0,19900.0,20700.0,28200.0,18900.0
24,3000.0,25800.0,20900.0,21700.0,28300.0,19000.0
25,3100.0,29300.0,21900.0,23300.0,29400.0,19100.0
26,4100.0,30200.0,22500.0,28000.0,30400.0,19200.0
27,4400.0,31000.0,23500.0,28900.0,30700.0,19400.0
28,4900.0,31100.0,23900.0,29000.0,31500.0,19500.0
29,5000.0,31200.0,25300.0,31300.0,31700.0,19800.0
30,5300.0,33200.0,26300.0,31400.0,32700.0,20000.0
31,5400.0,33300.0,27400.0,31600.0,34500.0,20100.0
32,5500.0,33400.0,28400.0,32100.0,39500.0,20200.0
33,5700.0,33500.0,28500.0,32400.0,42100.0,20300.0
34,7200.0,33600.0,28600.0,34400.0,44000.0,20600.0
35,7400.0,42200.0,30500.0,38600.0,44100.0,20800.0
