,4,3,0,1,2
0,100.0,400.0,694800.0,251000.0,246200.0
1,200.0,500.0,699300.0,883200.0,904700.0
2,700.0,600.0,699500.0,904600.0,905000.0
3,106700.0,900.0,726000.0,904800.0,920600.0
4,106800.0,1000.0,740000.0,905200.0,965300.0
5,106900.0,1100.0,793000.0,921200.0,1075100.0
6,109300.0,1200.0,921100.0,967900.0,1075400.0
7,109400.0,1300.0,969600.0,1074500.0,1075600.0
8,114200.0,1400.0,970600.0,1074600.0,1107600.0
9,114300.0,1500.0,1102000.0,1074900.0,1108400.0
10,114400.0,1600.0,1116200.0,1075200.0,1108500.0
11,114500.0,1700.0,1120500.0,1075300.0,1108600.0
12,114600.0,1800.0,1120800.0,1075500.0,1232900.0
13,114700.0,1900.0,1234200.0,1077900.0,1233300.0
14,114800.0,2000.0,1756900.0,1078000.0,1233700.0
15,114900.0,2100.0,1764600.0,1079300.0,1234000.0
16,115000.0,2200.0,1765800.0,1107200.0,1234500.0
17,115100.0,2300.0,1998200.0,1107700.0,1234900.0
18,115200.0,2400.0,2123500.0,1107900.0,1235500.0
19,115400.0,2500.0,2126000.0,1232600.0,1235800.0
20,115700.0,2600.0,2126100.0,1233000.0,1415200.0
21,115800.0,2700.0,2180100.0,1233500.0,1435600.0
22,115900.0,2800.0,2467400.0,1233600.0,1504600.0
23,116000.0,2900.0,2555500.0,1234100.0,1984800.0
24,263700.0,3000.0,2555800.0,1235000.0,1985900.0
25,264300.0,3100.0,2555900.0,1235400.0,1991200.0
26,291600.0,3200.0,2556200.0,1235900.0,2553900.0
27,291700.0,3300.0,2556300.0,1435500.0,2554700.0
28,291800.0,3400.0,2556400.0,1435700.0,2554900.0
29,291900.0,3500.0,2557400.0,1435800.0,2555000.0
30,292000.0,3600.0,2557500.0,1583300.0,2556800.0
31,292100.0,3700.0,2557600.0,1986200.0,2557100.0
32,292200.0,3800.0,2557700.0,1991000.0,2557200.0
33,338000.0,3900.0,2557800.0,2274100.0,2561400.0
34,338100.0,4000.0,2559200.0,2275200.0,2589600.0
35,338200.0,4100.0,2559400.0,2467100.0,2709100.0
36,338400.0,4200.0,2560300.0,2590500.0,2709300.0
37,338500.0,4300.0,2561000.0,2590800.0,2957400.0
38,338900.0,4400.0,2862300.0,2590900.0,
39,339100.0,4500.0,2862500.0,2591200.0,
40,339200.0,4600.0,2862600.0,2592200.0,
41,339300.0,4700.0,,2592300.0,
42,339400.0,4800.0,,2708100.0,
43,339500.0,4900.0,,2708200.0,
44,342500.0,5000.0,,2708300.0,
45,355100.0,5100.0,,2709600.0,
46,364300.0,5200.0,,2739900.0,
47,407000.0,5300.0,,3216800.0,
48,408000.0,5400.0,,3323500.0,
49,408100.0,5500.0,,3459100.0,
50,408200.0,5600.0,,3459200.0,
51,408400.0,5700.0,,3459400.0,
52,408500.0,5800.0,,,
53,408600.0,5900.0,,,
54,408800.0,6000.0,,,
55,409000.0,6100.0,,,
56,409200.0,6200.0,,,
57,409300.0,6300.0,,,
58,409600.0,6400.0,,,
59,409700.0,6500.0,,,
60,409800.0,6600.0,,,
61,410000.0,6700.0,,,
62,410200.0,6800.0,,,
63,410300.0,6900.0,,,
64,410400.0,7000.0,,,
65,410500.0,7100.0,,,
66,410800.0,7200.0,,,
67,470500.0,7300.0,,,
68,477900.0,7400.0,,,
69,532500.0,7500.0,,,
70,568500.0,7600.0,,,
71,568900.0,7700.0,,,
72,569000.0,7800.0,,,
73,569100.0,7900.0,,,
74,569200.0,8000.0,,,
75,569500.0,8100.0,,,
76,570200.0,8200.0,,,
77,570300.0,8300.0,,,
78,570400.0,8400.0,,,
79,570500.0,8500.0,,,
80,570600.0,8600.0,,,
81,570700.0,8700.0,,,
82,570800.0,8800.0,,,
83,570900.0,8900.0,,,
84,571000.0,9000.0,,,
85,571100.0,9100.0,,,
86,571200.0,9200.0,,,
87,571300.0,9300.0,,,
88,571400.0,9400.0,,,
89,571600.0,9500.0,,,
90,571700.0,9600.0,,,
91,571800.0,9700.0,,,
92,571900.0,9800.0,,,
93,572000.0,9900.0,,,
94,572100.0,10000.0,,,
95,572200.0,10100.0,,,
96,572400.0,10200.0,,,
97,572500.0,10300.0,,,
98,572600.0,10400.0,,,
99,572700.0,10500.0,,,
100,572800.0,10600.0,,,
